brandconsideration_Colgate,brandconsideration_eSensodyne,brandconsideration_Darlie,brandconsideration_Parodontax,brandconsideration_Oral-B,brandconsideration_others,Others,ImpressionOfColgate,SeenBossAd,SeenColleagueAd,NoSeenAds,Numberofads,PreferenceLevelofAd,ConnectionLevelofAd,PurchaseIntention,PreferenceEnhance,UnderstandEnhance,Gender,Age,Whitening,Plaque,GumHealth,Desenstizing,BreathFresh,OtherhealthIssue,nocare,LastPurchaseTime,ads_text,ads_picture  ,ads_video ,ads_Influencer,Video_instream
1,1,0,0,0,0,,4,1,1,0,2,10,8,5,5,5,1,20-29,1,0,0,1,0,0,0,Within1W,0,0,1,0,0
1,0,0,0,0,0,,5,0,0,1,0,,,,,,0,40-49,1,0,1,1,1,0,0,Within1M,0,1,0,0,0
0,0,1,0,1,0,,5,0,0,1,0,,,,,,1,20-29,1,1,1,0,1,0,0,Within1W,0,0,1,0,0
1,0,0,0,0,0,,4,0,1,0,1,7,9,5,4,4,0,40-49,1,1,1,0,1,0,0,Within3M,0,1,0,0,0
1,0,1,0,0,0,,4,1,0,0,1,8,8,4,4,4,0,13-19,1,1,1,1,1,0,0,Within1M,0,1,1,0,0
1,0,1,0,0,0,,4,1,1,0,2,9,9,5,5,5,1,40-49,0,1,0,1,0,0,0,Within1M,0,1,0,0,0
1,0,0,0,0,0,,4,0,0,1,0,,,,,,1,40-49,1,1,0,0,1,0,0,Within3M,0,1,0,0,0
0,0,1,0,0,0,,4,0,1,0,1,6,7,5,5,5,0,50-59,0,0,1,1,0,0,0,Within1W,0,0,1,0,0
0,0,0,0,0,1,,5,1,1,0,2,10,10,5,4,5,0,40-49,1,1,1,1,1,0,0,Within1M,0,1,0,0,0
1,0,0,0,0,0,,5,1,0,0,1,10,10,5,5,5,1,20-29,0,0,0,1,0,0,0,Within1M,0,1,0,0,0
1,1,0,0,0,0,,5,1,1,0,2,1,1,5,5,5,1,40-49,0,1,1,1,1,0,0,Within3M,0,0,1,0,0
1,0,1,0,0,0,,5,1,1,0,2,10,10,5,5,5,0,13-19,0,1,1,0,1,0,0,Within1M,0,0,0,0,1
1,0,1,0,0,0,,4,0,1,0,1,10,10,4,4,4,1,30-39,0,0,0,0,1,0,0,Within3M,0,0,1,0,0
1,1,1,0,0,0,,5,1,1,0,2,10,10,5,5,5,0,40-49,0,1,0,1,1,0,0,Within1W,0,1,1,0,0
1,1,0,0,0,0,,5,1,1,0,2,10,10,5,5,5,1,30-39,1,1,1,1,1,0,0,NeverBuyWithin1Y,0,1,0,0,0
1,1,1,0,0,0,,5,0,0,1,0,,,,,,1,20-29,1,1,1,1,1,0,0,Within1M,0,1,1,0,0
1,1,1,1,1,0,,4,1,1,0,2,8,8,4,4,4,1,40-49,1,1,1,1,1,0,0,Within1M,1,1,0,0,0
1,0,0,0,0,0,,5,0,1,0,1,10,10,5,5,5,0,40-49,0,1,0,0,0,0,0,Within1W,0,0,1,0,0
1,0,0,0,0,0,,5,1,0,0,1,8,8,5,5,4,1,13-19,1,1,1,1,0,0,0,Within1M,0,0,1,1,0
1,0,0,0,0,0,,5,1,0,0,1,7,7,4,4,4,1,40-49,1,1,1,1,1,0,0,Within1M,0,0,1,0,0
1,1,1,0,0,0,,5,0,0,1,0,,,,,,1,20-29,0,1,0,1,0,0,0,Within3M,0,1,1,0,0
1,0,0,0,0,0,,4,0,0,1,0,,,,,,0,40-49,1,0,1,1,1,0,0,Within3M,0,1,1,0,0
1,0,1,0,0,0,,4,1,0,0,1,7,9,5,4,4,1,30-39,1,1,0,1,1,0,0,Within1W,0,0,1,0,0
1,0,0,0,0,0,,5,1,1,0,2,6,6,5,5,5,1,20-29,1,1,1,0,0,0,0,Within3M,0,1,1,0,0
1,0,0,0,0,0,,4,0,1,0,1,6,5,3,4,3,1,30-39,1,1,0,0,0,0,0,Within3M,0,0,1,0,0
1,1,1,0,0,0,,4,1,1,0,2,7,9,5,5,5,1,30-39,0,1,1,1,1,0,0,Within1M,0,1,0,0,0
1,0,0,0,0,0,,5,0,1,0,1,6,6,5,5,5,0,30-39,0,0,0,1,0,0,0,Within1M,0,1,0,0,0
1,0,1,0,0,0,,4,1,1,0,2,10,7,5,4,5,1,20-29,1,0,0,0,0,0,0,Within3M,0,1,0,0,0
0,0,0,0,1,0,,4,1,1,0,2,8,8,4,5,5,1,40-49,0,0,1,1,0,0,0,Within1M,0,1,1,0,0
1,0,0,0,0,0,,4,1,0,0,1,7,5,3,4,4,0,50-59,0,1,1,0,1,0,0,Within3M,0,1,0,0,1
1,0,1,0,0,0,,4,1,0,0,1,8,9,5,5,5,1,40-49,1,1,1,1,1,0,0,Within1M,0,0,1,1,0
1,1,1,0,0,0,,4,1,0,0,1,7,7,5,5,5,1,40-49,0,0,0,1,0,0,0,NeverBuyWithin1Y,0,1,0,0,0
1,1,0,0,0,0,,5,0,0,1,0,,,,,,1,20-29,0,1,1,1,0,0,0,Within3M,0,1,0,0,0
0,0,0,0,0,1,三詩達,4,0,1,0,1,6,10,4,4,5,1,40-49,1,1,1,1,0,0,0,Within3M,0,1,0,0,0
1,0,1,0,0,0,,3,1,0,0,1,6,8,4,4,3,0,30-39,1,0,0,1,1,0,0,Within1M,0,1,0,0,0
1,0,1,0,0,0,,5,1,1,0,2,10,10,5,5,5,1,30-39,1,1,1,0,1,0,0,Within1M,0,1,1,0,1
1,1,1,0,0,0,,5,0,1,0,1,9,10,5,4,5,0,30-39,0,1,1,1,0,0,0,Within1M,0,1,1,0,0
1,0,1,0,0,0,,4,0,1,0,1,8,8,5,5,5,0,30-39,0,1,0,1,0,0,0,Within1M,0,0,1,0,0
1,1,0,0,0,0,,5,1,1,0,2,10,10,4,5,5,1,30-39,0,1,0,1,1,0,0,Within1M,0,1,1,0,0
1,0,0,0,0,0,,5,1,1,0,2,10,10,5,5,5,1,40-49,1,1,0,1,0,0,0,Within3M,0,0,0,1,0
0,0,1,0,0,0,,3,1,1,0,2,8,6,4,4,4,0,20-29,1,1,1,0,1,0,0,Within3M,0,1,0,0,0
1,1,0,0,0,0,,4,1,1,0,2,8,9,4,5,5,1,30-39,1,0,0,0,0,0,0,Within6M,0,1,0,0,0
1,1,0,0,0,0,,4,0,1,0,1,8,10,4,4,5,0,30-39,0,0,1,0,1,0,0,Within3M,0,0,1,0,0
1,0,1,0,0,0,,4,0,0,1,0,,,,,,1,30-39,1,1,1,1,1,0,0,Within3M,0,0,1,0,0
1,1,0,1,1,0,,4,1,1,0,2,8,7,4,4,5,1,30-39,0,1,1,1,1,0,0,Within6M,0,0,1,0,0
1,0,1,0,0,0,,4,1,0,0,1,9,9,5,5,5,1,40-49,1,0,0,0,1,0,0,Within3M,0,0,1,0,0
1,0,0,0,0,0,,4,0,0,1,0,,,,,,1,30-39,1,1,1,0,1,0,0,NeverBuyWithin1Y,0,0,1,0,0
1,1,0,0,0,0,,4,1,0,0,1,8,9,4,5,5,0,40-49,1,1,1,0,0,0,0,Within1M,0,1,0,0,0
1,0,0,0,0,0,,5,0,0,1,0,,,,,,1,30-39,0,1,1,0,1,0,0,Within1W,0,0,1,0,0
1,0,1,0,0,0,,5,0,0,1,0,,,,,,1,20-29,0,1,0,1,0,0,0,Within3M,0,1,0,0,0
1,0,0,0,1,0,,5,1,0,0,1,9,9,4,4,3,1,30-39,1,0,1,0,0,0,0,Within1M,0,1,0,1,0
1,0,0,1,0,0,,5,1,1,0,2,9,10,5,5,5,1,20-29,0,1,1,1,0,0,0,Within1M,0,1,1,0,0
1,0,0,0,0,0,,5,1,1,0,2,10,10,5,5,5,1,20-29,1,1,1,1,0,0,0,Within1M,0,1,0,0,0
1,0,1,0,0,0,,4,0,1,0,1,8,7,4,4,4,0,20-29,1,0,0,1,1,0,0,Within3M,0,1,0,0,0
1,0,0,0,0,0,,4,1,1,0,2,10,10,5,5,5,0,40-49,1,1,1,1,1,0,0,Within1W,0,1,1,0,0
1,0,0,0,0,0,,5,0,0,1,0,,,,,,1,40-49,1,1,0,0,0,0,0,Within1M,0,1,0,0,0
0,0,1,0,0,0,,5,0,0,1,0,,,,,,0,40-49,0,0,1,1,0,0,0,Within6M,0,0,1,0,0
1,0,1,0,0,0,,5,1,0,0,1,7,8,5,5,5,0,20-29,1,1,1,0,1,0,0,Within1M,0,1,1,0,0
0,1,1,0,0,0,,4,1,0,0,1,7,6,3,3,4,1,20-29,1,0,1,0,0,0,0,Within1M,0,0,1,0,0
1,0,0,0,0,0,,2,0,0,1,0,,,,,,1,40-49,1,0,1,0,1,0,0,Within1M,0,0,1,0,0
1,0,0,0,0,0,,5,0,0,1,0,,,,,,0,50-59,0,0,0,1,0,0,0,Within6M,0,1,0,0,0
1,0,0,0,0,0,,4,1,0,0,1,10,10,5,5,5,1,30-39,1,1,1,1,1,0,0,Within1M,0,0,1,0,0
1,0,0,0,0,0,,5,1,0,0,1,10,10,4,5,5,1,30-39,0,0,0,1,0,0,0,Within1M,0,1,0,0,0
0,0,0,0,1,0,,3,1,0,0,1,5,6,4,4,4,0,30-39,1,0,0,0,0,0,0,Within1W,1,0,0,0,0
1,0,1,0,0,0,,4,1,1,0,2,10,10,5,5,5,0,40-49,1,0,0,0,0,0,0,Within3M,0,1,1,0,0
1,0,0,0,0,0,,5,1,1,0,2,7,8,4,5,4,1,20-29,1,0,1,1,1,0,0,Within3M,0,1,1,0,0
1,0,0,0,0,0,,5,1,1,0,2,7,9,4,4,4,1,20-29,1,1,1,1,1,0,0,Within3M,0,0,0,1,0
1,0,1,0,0,0,,4,0,1,0,1,5,4,3,3,4,1,20-29,0,0,1,0,1,0,0,Within3M,0,1,1,1,0
1,0,1,0,0,1,Ora2,5,0,0,1,0,,,,,,1,20-29,1,0,0,0,1,0,0,Within1M,0,1,0,0,0
1,1,1,0,0,0,,4,1,1,0,2,7,7,4,3,3,1,30-39,1,1,1,1,1,0,0,Within3M,0,1,1,0,0
1,0,1,0,0,0,,5,1,1,0,2,8,8,5,4,5,1,20-29,1,0,1,0,0,0,0,Within1M,0,1,1,0,0
1,1,1,1,1,0,,5,1,1,0,2,7,10,4,4,4,0,40-49,0,0,0,0,0,0,1,Morethan1Y,0,1,1,0,0
1,1,0,0,0,0,,4,1,0,0,1,7,8,4,4,5,0,30-39,0,1,1,1,0,0,0,Within3M,0,0,1,0,0
1,1,0,1,0,0,,5,0,1,0,1,7,7,3,3,4,1,20-29,0,1,1,1,1,0,0,Within6M,0,1,1,0,0
1,0,0,0,0,0,,4,1,1,0,2,9,9,5,5,5,0,30-39,0,0,0,1,1,0,0,Within1M,0,0,1,1,0
0,1,0,1,0,0,,4,1,1,0,2,7,7,5,4,5,0,40-49,1,0,0,1,0,0,0,Within1M,0,0,1,0,0
1,0,1,0,0,0,,4,1,1,0,2,8,8,5,5,5,1,40-49,0,1,1,1,0,0,0,Within1M,0,0,1,0,0
1,0,0,0,0,0,,5,1,0,0,1,10,10,5,5,5,1,40-49,0,0,0,1,0,0,0,Within3M,0,0,1,0,0
1,0,1,0,0,0,,5,1,1,0,2,10,10,5,5,5,0,40-49,0,1,1,1,0,0,0,Within3M,0,0,1,1,0
1,1,0,1,0,0,,3,1,1,0,2,7,8,4,4,4,1,20-29,1,1,1,1,0,0,0,Within1M,0,1,1,0,0
1,0,0,0,0,0,,3,1,0,0,1,6,6,4,3,3,1,30-39,0,0,1,1,1,0,0,Within1M,1,0,0,0,0
1,1,0,0,0,0,,5,1,0,0,1,7,9,4,3,3,1,30-39,1,1,0,0,1,0,0,Within1M,0,1,0,0,0
1,0,0,0,0,0,,4,1,0,0,1,8,9,4,4,4,1,20-29,1,1,0,0,0,0,0,Within3M,0,0,1,0,0
1,0,0,0,0,0,,4,0,1,0,1,10,10,5,5,5,0,40-49,0,0,1,0,0,0,0,Within3M,0,1,0,0,0
1,0,0,0,0,0,,5,0,0,1,0,,,,,,1,20-29,1,1,1,1,1,0,0,Within1W,0,1,0,1,0
1,1,1,1,1,0,,3,1,0,0,1,5,10,3,4,4,1,30-39,1,1,1,0,1,0,0,Morethan1Y,0,1,0,0,0
1,1,1,0,1,0,,5,1,1,0,2,10,10,5,5,5,0,40-49,1,1,1,1,1,0,0,Within3M,1,1,1,0,0
1,1,0,0,0,0,,5,0,1,0,1,8,8,4,4,4,1,40-49,0,1,1,1,1,0,0,Within3M,0,0,1,0,0
1,0,0,0,0,0,,5,1,1,0,2,9,7,5,5,4,1,40-49,0,0,1,0,0,0,0,Within1M,0,1,0,0,0
0,1,0,0,0,0,,4,1,0,0,1,9,9,5,4,5,0,40-49,0,0,1,1,1,0,0,Within1W,0,1,1,0,0
1,0,0,0,0,0,,5,1,1,0,2,10,10,5,5,5,0,50-59,0,0,1,0,1,0,0,Within1M,0,0,1,0,0
1,0,1,0,0,0,,5,1,1,0,2,10,10,5,5,4,1,50-59,1,1,1,1,1,0,0,Within1W,0,1,1,0,1
0,1,0,0,0,0,,4,1,0,0,1,8,10,3,4,3,0,20-29,1,0,1,0,1,0,0,Within3M,0,0,1,0,0
1,0,0,0,0,0,,5,1,1,0,2,10,10,5,4,4,0,40-49,0,1,1,1,0,0,0,Within1M,0,1,1,0,0
0,1,0,0,0,0,,4,1,0,0,1,7,8,5,5,5,1,40-49,1,1,1,1,1,0,0,Within1W,1,1,1,1,0
1,1,0,1,0,0,,5,1,1,0,2,7,8,5,5,4,0,20-29,0,1,1,1,0,0,0,Within1W,0,1,1,0,0
1,1,1,1,1,0,,5,0,0,1,0,,,,,,1,30-39,1,0,1,1,1,0,0,Within6M,0,1,0,0,0
0,0,1,0,0,0,,4,0,0,1,0,,,,,,1,30-39,0,1,1,0,1,0,0,Within1M,0,1,1,0,0
1,0,0,0,0,1,阿原,4,1,0,0,1,6,7,4,4,5,0,30-39,0,1,0,0,1,0,0,Within1M,0,1,0,0,0
1,0,1,0,0,0,,5,1,1,0,2,10,10,5,5,5,0,50-59,1,1,1,1,1,0,0,Within1M,0,1,1,0,1
1,0,0,1,0,0,,4,1,0,0,1,5,4,4,5,4,1,50-59,0,1,1,0,0,0,0,Within1M,0,0,1,0,0
0,0,1,0,0,0,,4,0,0,1,0,,,,,,1,20-29,0,0,1,1,0,0,0,Within3M,0,1,1,0,0
0,1,0,0,0,0,,4,0,0,1,0,,,,,,1,30-39,0,0,0,1,0,0,0,Within3M,0,0,0,0,1
1,1,0,1,0,0,,5,1,1,0,2,10,10,5,5,5,0,40-49,1,1,1,1,1,0,0,Within1W,1,1,1,0,0
0,0,0,0,1,0,,4,1,0,0,1,7,10,4,3,4,1,30-39,1,0,0,1,0,0,0,Within3M,0,1,0,0,0
1,0,1,0,0,0,,5,1,0,0,1,8,9,4,4,4,1,50-59,1,0,0,1,0,0,0,Within1M,0,1,0,0,0
0,0,1,0,0,0,,4,0,1,0,1,5,6,4,4,4,1,40-49,0,0,1,0,1,0,0,Within3M,0,1,0,0,0
1,0,0,0,0,0,,5,0,1,0,1,7,9,5,5,5,1,20-29,1,1,1,1,1,0,0,Within1W,0,1,1,0,0
1,0,0,0,0,0,,4,0,0,1,0,,,,,,0,20-29,1,0,0,1,1,0,0,Morethan1Y,0,0,1,0,0
0,0,1,0,0,0,,4,0,0,1,0,,,,,,1,20-29,1,0,0,0,0,0,0,NeverBuy,0,1,0,0,0
1,0,0,0,0,0,,4,1,0,0,1,5,6,3,3,4,1,40-49,0,1,1,0,1,0,0,NeverBuyWithin1Y,0,0,1,0,0
0,0,1,0,0,0,,4,0,0,1,0,,,,,,1,40-49,0,1,1,0,0,0,0,NeverBuyWithin1Y,0,0,1,0,0
1,0,0,0,1,0,,5,0,0,1,0,,,,,,1,40-49,0,1,0,1,0,0,0,Within1M,0,0,1,0,0
0,0,0,0,0,1,艾多美,5,1,1,0,2,7,6,4,4,4,1,20-29,1,0,0,0,1,0,0,Within3M,0,0,1,1,0
1,0,1,0,0,0,,4,0,0,1,0,,,,,,1,20-29,1,1,0,0,1,0,0,Within3M,0,1,1,1,0
1,0,0,0,0,0,,4,1,0,0,1,7,8,4,4,4,1,40-49,0,1,0,1,0,0,0,Within3M,0,1,0,0,0
0,1,0,0,0,0,,4,0,0,1,0,,,,,,1,40-49,1,1,1,1,1,0,0,Within3M,0,0,1,0,0
1,1,0,0,0,0,,5,0,0,1,0,,,,,,1,50-59,1,1,1,1,1,0,0,Within1M,0,1,0,0,0
1,0,0,0,0,0,,4,1,1,0,2,7,7,4,4,4,1,40-49,0,0,1,1,0,0,0,Within3M,0,1,0,0,0
1,1,0,1,0,0,,5,0,0,1,0,,,,,,1,40-49,1,0,1,1,1,0,0,Within3M,0,0,1,0,0
1,0,1,0,0,0,,4,1,1,0,2,6,6,5,5,5,0,50-59,0,1,1,0,1,0,0,Within6M,1,0,0,0,0
1,0,0,0,0,0,,4,1,0,0,1,7,7,4,4,5,1,40-49,0,1,1,1,0,0,0,Within1M,0,0,1,0,0
1,1,0,0,0,0,,5,1,0,0,1,5,6,3,3,3,1,30-39,1,0,0,1,1,0,0,Within3M,0,1,0,0,0
1,1,0,0,0,0,,4,0,0,1,0,,,,,,0,40-49,1,0,0,1,0,0,0,Within1M,0,1,1,0,0
0,0,1,0,0,0,,3,0,1,0,1,7,7,3,3,3,0,40-49,0,0,0,0,0,1,0,Within1M,0,0,1,0,0
1,0,1,0,1,0,,5,1,1,0,2,10,10,5,5,5,0,30-39,1,1,1,1,1,0,0,Within1M,0,1,1,0,0
0,0,1,0,0,0,,5,0,0,1,0,,,,,,1,20-29,1,0,0,1,1,0,0,Within3M,0,1,0,0,0
0,1,0,0,0,0,,4,0,0,1,0,,,,,,1,30-39,1,1,1,1,1,0,0,Within3M,0,1,1,1,0
0,0,1,0,0,0,,5,0,0,1,0,,,,,,1,20-29,0,1,1,0,0,0,0,Within1M,0,0,1,0,0
1,0,1,0,0,0,,4,1,1,0,2,5,8,4,4,5,1,40-49,1,0,0,0,1,0,0,Within6M,0,1,0,0,0
1,0,0,0,0,0,,5,0,1,0,1,10,10,5,5,5,1,50-59,1,1,1,1,1,0,0,Within1W,0,0,1,0,0
1,0,0,0,0,0,,5,0,0,1,0,,,,,,0,20-29,1,0,0,1,0,0,0,Within3M,0,0,1,0,0
0,0,0,0,0,1,台鹽,5,0,0,1,0,,,,,,0,20-29,0,0,1,1,0,0,0,Within1M,0,0,1,0,0
1,0,0,0,0,0,,5,1,0,0,1,7,7,5,5,4,0,40-49,0,0,0,1,0,0,0,Morethan1Y,0,0,1,0,0
1,0,0,0,0,0,,4,0,0,1,0,,,,,,0,30-39,0,0,0,0,0,0,1,Within6M,0,0,1,0,0
0,1,0,0,0,0,,4,0,0,1,0,,,,,,1,30-39,0,0,1,1,0,0,0,Within6M,0,0,0,1,0
0,1,1,1,1,0,,4,1,1,0,2,5,5,4,4,4,0,30-39,1,1,0,0,1,0,0,Morethan1Y,0,1,0,0,0
0,0,1,0,1,0,,4,0,0,1,0,,,,,,0,20-29,0,1,0,1,0,0,0,Within3M,0,1,0,1,0
1,0,1,0,1,0,,4,0,0,1,0,,,,,,1,50-59,1,1,0,1,0,0,0,Within3M,1,0,0,1,0
1,0,0,0,1,0,,4,0,0,1,0,,,,,,0,60-69,1,0,0,0,1,1,0,NeverBuyWithin1Y,0,0,1,1,1
1,1,0,0,1,0,,4,0,1,0,1,4,5,4,5,4,0,30-39,0,1,0,0,0,0,0,Within6M,1,0,0,0,1
1,1,0,0,1,0,,3,0,0,1,0,,,,,,1,50-59,1,1,0,1,0,0,0,Within6M,0,1,0,1,1
0,0,1,1,1,0,,4,0,0,1,0,,,,,,1,20-29,1,0,0,1,1,0,0,Within1M,1,0,0,1,0
1,1,0,0,1,0,,4,0,0,1,0,,,,,,1,30-39,0,1,0,1,1,0,0,Within1W,1,1,0,1,1
1,1,0,0,1,0,,4,0,0,1,0,,,,,,0,40-49,1,0,0,1,1,0,0,Within1W,1,1,0,1,0
1,1,0,0,1,0,,4,0,0,1,0,,,,,,1,50-59,0,0,0,0,0,0,1,Within1M,0,1,1,1,0
1,1,0,0,1,0,,4,0,0,1,0,,,,,,1,20-29,1,0,0,0,1,1,0,NeverBuyWithin1Y,0,1,0,0,1
1,1,0,0,1,0,,4,0,0,1,0,,,,,,1,20-29,0,0,0,0,0,1,0,Within6M,1,1,0,0,0
0,1,1,0,1,0,,1,0,0,1,0,,,,,,0,40-49,1,0,0,1,1,0,0,NeverBuyWithin1Y,0,1,1,1,1
1,0,0,0,0,0,,5,1,1,0,2,10,10,5,5,5,0,40-49,0,1,0,1,1,0,0,Within1W,1,1,0,0,0
1,0,1,0,0,0,,4,1,0,0,1,8,8,5,5,5,1,40-49,1,1,1,0,0,0,0,Within1M,0,1,0,0,0
1,0,1,0,0,0,,4,0,0,1,0,,,,,,0,40-49,0,0,1,0,1,0,0,Within1M,0,1,1,0,0
0,0,0,0,0,1,crest,5,0,1,0,1,5,6,4,4,4,1,20-29,1,0,0,0,0,0,0,Within3M,0,1,0,0,0
1,0,1,0,0,1,Atomy,2,1,1,0,2,7,7,4,4,3,1,30-39,0,1,1,0,1,0,0,Within6M,0,1,1,0,0
